StartDate,Type,CurrStreak,IsActive
2024-10-01,Health & Fitness,15,1
2024-10-02,Personal Development,8,1
2024-10-03,Productivity & Time Management,12,1
2024-10-04,Social & Relationships,3,0
2024-10-05,Financial Habits,7,0
2024-10-06,Environmental Impact,5,0
2024-10-07,Emotional Well-being,10,1
2024-10-08,Work & Career,2,0
2024-10-09,Creative & Hobbies,14,1
2024-10-10,Spirituality & Reflection,6,1
2025-01-01,Health & Fitness,30,1
2025-01-02,Personal Development,15,1
2025-01-03,Productivity & Time Management,20,1
2025-01-04,Social & Relationships,5,0
2025-01-05,Financial Habits,10,1
2025-01-06,Environmental Impact,8,0
2025-01-07,Emotional Well-being,15,1
2025-01-08,Work & Career,4,0
2025-01-09,Creative & Hobbies,21,1
2025-01-10,Spirituality & Reflection,9,0
2024-10-08,Work & Career,30,1
2024-10-09,Creative & Hobbies,15,1
2024-10-10,Spirituality & Reflection,20,1
2025-01-01,Health & Fitness,5,0
2025-01-02,Personal Development,10,1
2025-01-03,Productivity & Time Management,20,1
2025-01-04,Productivity & Time Management,5,0
2025-01-05,Social & Relationships,10,1
2025-01-06,Financial Habits,8,1
2025-01-07,Environmental Impact,15,1
2025-01-08,Emotional Well-being,4,0
2025-01-09,Work & Career,21,1
2025-01-10,Creative & Hobbies,15,1